Code,Location,Country,Latitude,Longitude,Network,Contact
ABG,Alibag,India,18.638,72.872,imo,Kyo
ABK,Abisko,Sweden,68.358,18.823,imo,Edi
AIA,Faraday Islands (Argentine Island) - Akademik Vernadsky base,Antarctica,-65.245,295.742,imo,Edi
API,Apia,Western Samoa,-13.8155,-171.7812,imo,Edi
ARS,Arti,Russia,56.433,58.567,imo,Edi
ASC,Ascension Island,United Kingdom,-7.95,345.62,imo,Edi
ASP,Alice Springs,Australia,-23.762,133.883,imo,Edi
BDV,Budkov,Czech Republic,49.08,14.02,imo,Edi
BEL,Belsk,Poland,51.836,20.789,imo,Edi
BFO,Black Forest,Germany,48.331,8.325,imo,Edi
BLC,Baker Lake,Canada,64.318,263.988,imo,Ott
BMT,Beijing Ming Tombs,China,40.3,116.2,imo,Kyo
BOU,Boulder,United States of America,40.14,254.767,imo,Gol
BOX,Borok,Russia,58.07,38.23,imo,Par
BRD,Brandon,Canada,49.87,260.0261,imo,Ott
BRW,Barrow,United States of America,71.32,203.38,imo,Gol
BSL,Stennis Space Center (Bay St. Louis),United States of America,30.35,270.36,imo,Gol
CBB,Cambridge Bay,Canada,69.123,254.969,imo,Ott
CKI,Cocos (Keeling) Islands,Australia,-12.1875,96.8336,imo,Edi
CLF,Chambon-la-Foret,France,48.025,2.26,imo,Par
CMO,College,United States of America,64.87,212.14,imo,Gol
CNB,Canberra,Australia,-35.32,149.36,imo,Edi
CPL,Choutuppal,17.294,78.9192,imo,Edi,
CSY,Casey Station,Antarctica,-66.283,110.533,imo,Edi
CTA,Charters Towers,Australia,-20.09,146.264,imo,Edi
CYG,Cheongyang,Korea,36.37,126.854,imo,Edi
DED,Deadhorse,United States of America,70.36,211.21,imo,Gol
DLT,Dalat,Vietnam,11.95,108.48,imo,Par
DOU,Dourbes,Belgium,50.1,4.6,imo,Edi
DUR,Duronia,Italy,41.39,14.28,imo,Par
EBR,Ebro,Spain,40.957,0.333,imo,Par
ESK,Eskdalemuir,United Kingdom,55.314,356.794,imo,Edi
EYR,Eyrewell,New Zealand,-43.474,172.393,imo,Edi
FCC,Fort Churchill,Canada,58.759,265.912,imo,Ott
FRD,Fredericksburg,United States of America,38.21,282.633,imo,Gol
FRN,Fresno,United States of America,37.09,240.28,imo,Gol
FUR,Furstenfeldbruck,Germany,48.17,11.28,imo,Edi
GAN,Gan International Airport,Maldives,-0.6946,73.15374,imo,Edi
GCK,Grocka,Republic of Serbia,44.633,20.767,imo,Edi
GDH,Qeqertarsuaq (Godhavn),Greenland,69.252,306.467,imo,Kyo
GNG,Gingin,Australia,-31.356,115.715,imo,Edi
GUA,Guam,United States of America,13.59,144.87,imo,Gol
GUI,Guimar,Spain,28.321,343.559,imo,Par
HAD,Hartland,United Kingdom,51,355.52,imo,Edi
HBK,Hartebeesthoek,South Africa,-25.88,27.71,imo,Edi
HER,Hermanus,South Africa,-34.43,19.23,imo,Edi
HLP,Hel,Poland,54.6035,18.8107,imo,Edi
HON,Honolulu,United States of America,21.32,202,imo,Gol
HRB,Hurbanovo,Slovakia,47.873,18.19,imo,Par
HRN,Hornsund,Norway,77,15.55,imo,Edi
HUA,Huancayo,Peru,-12.05,284.67,imo,Edi
HYB,Hyderabad,India,17.42,78.55,imo,Edi
IQA,Iqaluit,Canada,63.753,291.482,imo,Ott
IRT,Irkutsk,Russia,52.27,104.45,imo,Edi
IZN,Iznik,Turkey,40.5,29.72,imo,Edi
JAI,Jaipur,India,26.92,75.8,imo,Kyo
JCO,Jim Carrigan Observatory,United States of America,70.356,-148.799,imo,Edi
KAK,Kakioka,Japan,36.232,140.186,imo,Kyo
KDU,Kakadu,Australia,-12.69,132.47,imo,Edi
KEP,King Edward Point,South Georgia and the South Sandwich Islands,-54.2821,323.5071,imo,Edi
KHB,Khabarovsk,Russia,47.61,134.69,imo,Edi
KIV,Kiev,Ukraine,50.72,30.3,imo,Edi
KMH,Keetmanshoop,Namibia,-26.54,18.11,imo,Edi
KNY,Kanoya,Japan,31.42,130.88,imo,Kyo
KOU,Kourou,French Guiana,5.21,307.27,imo,Par
LER,Lerwick,United Kingdom,60.138,358.817,imo,Edi
LON,Lonjsko Polje,Croatia,45.4081,16.6592,imo,Edi
LRM,Learmonth,Australia,-22.22,114.1,imo,Edi
LVV,Lviv,Ukraine,49.9,23.75,imo,Edi
LYC,Lycksele,Sweden,64.612,18.748,imo,Edi
MAB,Manhay,Belgium,50.298,5.682,imo,Edi
MAW,Mawson,Antarctica,-67.6,62.88,imo,Edi
MCQ,Macquarie Island,Australia,-54.5,158.95,imo,Edi
MEA,Meanook,Canada,54.616,246.653,imo,Ott
MGD,Magadan,Russia,60.051,150.728,imo,Edi
MMB,Memambetsu,Japan,43.91,144.19,imo,Kyo
NAQ,Narsarsuaq,Greenland,61.167,314.567,imo,Kyo
